episode,reward,moving_avg,epsilon,steps
1,-1.4400,-1.4400,0.8955,236
2,-2.6000,-2.0200,0.8910,240
3,-2.4500,-2.1633,0.8866,255
4,-0.1800,-1.6675,0.8821,242
5,-0.4000,-1.4140,0.8777,220
6,-2.1800,-1.5417,0.8733,282
7,-0.3300,-1.3686,0.8690,227
8,-2.7800,-1.5450,0.8646,222
9,-1.6500,-1.5567,0.8603,215
10,-1.3400,-1.5350,0.8560,246
11,-0.6200,-1.4518,0.8517,198
12,6.4800,-0.7908,0.8475,188
13,-2.8900,-0.9523,0.8432,211
14,-1.6800,-1.0043,0.8390,212
15,-0.3500,-0.9607,0.8348,225
16,6.4000,-0.5006,0.8306,280
17,-1.5500,-0.5624,0.8265,225
18,-0.1700,-0.5406,0.8224,243
19,-1.5200,-0.5921,0.8182,228
20,-1.6100,-0.6430,0.8141,219
21,7.5300,-0.2538,0.8101,193
22,0.0200,-0.2414,0.8060,262
23,-2.8000,-0.3526,0.8020,220
24,-1.5100,-0.4008,0.7980,229
25,-1.6400,-0.4504,0.7940,216
26,-2.8200,-0.5056,0.7900,218
27,5.8100,-0.1692,0.7861,221
28,-2.6000,-0.1752,0.7821,240
29,-2.5700,-0.2708,0.7782,243
30,-0.2600,-0.2652,0.7743,234
31,0.1500,-0.1720,0.7705,275
32,0.1900,-0.1512,0.7666,279
33,6.3200,0.2128,0.7628,272
34,-2.9200,0.1620,0.7590,208
35,6.2500,0.4656,0.7552,265
36,-1.1300,0.4452,0.7514,267
37,-1.5300,0.1248,0.7476,227
38,-1.4400,0.1828,0.7439,236
39,-2.3400,0.1564,0.7402,266
40,-1.3800,0.1152,0.7365,242
41,-0.9600,-0.1792,0.7328,284
42,-1.7700,-0.1880,0.7291,203
43,-2.7600,-0.2916,0.7255,224
44,-1.6100,-0.2952,0.7219,219
45,-2.9700,-0.3496,0.7183,203
46,6.6900,-0.3832,0.7147,209
47,-1.2300,-0.4332,0.7111,257
48,-1.6100,-0.3856,0.7075,219
49,5.7800,-0.0940,0.7040,218
50,7.1600,0.2580,0.7005,256
51,0.0200,0.3716,0.6970,262
52,-1.6900,0.0716,0.6935,211
53,-0.4100,0.1592,0.6900,219
54,-0.5100,0.2416,0.6866,209
